/media/sunyu/OS1/suanli/collectionunzip/blp-ar98
obj                 |bestobj             |time                |
6833.367            |6833.367            |50.866              |INIT
6653.704            |6653.704            |101.060             |KS2
6620.925            |6620.925            |252.836             |lns
6427.123            |6427.123            |265.699             |lns
6361.394            |6361.394            |274.697             |lns
6351.062            |6351.062            |298.792             |lns
6348.515            |6348.515            |301.414             |lns
6301.266            |6301.266            |324.752             |lns
6299.769            |6299.769            |336.181             |lns
6267.567            |6267.567            |399.226             |lns
6255.614            |6255.614            |437.049             |lns
6235.897            |6235.897            |550.295             |lns2
6230.071            |6230.071            |593.063             |lns
6225.983            |6225.983            |614.489             |lns
6221.942            |6221.942            |643.633             |lns
6221.942            |6221.942            |696.287             |random
6219.075            |6219.075            |857.250             |lns2
6219.075            |6219.075            |979.517             |random
total time : 1003.1820719242096
