/media/sunyu/OS1/suanli/collectionunzip/cmflsp50-24-8-8
obj                 |bestobj             |time                |
57936364.250        |57936364.250        |152.360             |KS1
57905587.402        |57905587.402        |172.309             |KS2
57793082.828        |57793082.828        |185.914             |KS2
57599009.212        |57599009.212        |236.002             |KS2
57599009.212        |57599009.212        |240.459             |KS2
57578021.784        |57578021.784        |325.971             |lns
57559985.788        |57559985.788        |444.180             |lns
57490040.693        |57490040.693        |544.269             |lns
57408604.795        |57408604.795        |638.166             |lns
57377949.361        |57377949.361        |747.955             |lns2
57368161.077        |57368161.077        |848.860             |lns
57259791.399        |57259791.399        |1000.083            |lns
total time : 1000.0832316875458
