/media/sunyu/OS1/suanli/collectionunzip/dc1l
obj                 |bestobj             |time                |
1930704.840         |1930704.840         |66.966              |INIT
1930704.840         |1930704.840         |117.285             |KS2
1872354.920         |1872354.920         |167.591             |KS2
1870383.190         |1870383.190         |217.960             |KS2
1846141.030         |1846141.030         |282.975             |lns
1845932.670         |1845932.670         |386.070             |lns
1837846.940         |1837846.940         |486.512             |lns
1837835.920         |1837835.920         |586.854             |lns
1825320.270         |1825320.270         |759.939             |lns
1823007.270         |1823007.270         |922.189             |lns
1811892.920         |1811892.920         |1000.328            |lns
total time : 1000.3292746543884
