/media/sunyu/OS1/suanli/collectionunzip/item_placement_9943
obj                 |bestobj             |time                |
41.466              |41.466              |50.040              |INIT
41.466              |41.466              |51.622              |KS2
33.168              |33.168              |59.927              |KS2
32.885              |32.885              |67.796              |KS2
30.333              |30.333              |71.124              |lns
28.234              |28.234              |74.280              |lns
26.622              |26.622              |81.409              |lns
25.871              |25.871              |91.895              |lns2
25.726              |25.726              |174.236             |lns2
25.464              |25.464              |298.607             |random
24.518              |24.518              |312.095             |lns2
24.105              |24.105              |561.081             |lns2
total time : 1000.1110942363739
