/media/sunyu/OS1/suanli/collectionunzip/load_balancing_102
obj                 |bestobj             |time                |
733.000             |733.000             |12.789              |KS1
708.000             |708.000             |62.953              |KS2
704.000             |704.000             |113.059             |KS2
702.000             |702.000             |163.215             |KS2
700.000             |700.000             |213.357             |KS2
699.000             |699.000             |263.490             |KS2
698.000             |698.000             |313.682             |crossover
697.000             |697.000             |448.438             |lns
696.000             |696.000             |539.939             |lns
total time : 1000.1508107185364
