/media/sunyu/OS1/suanli/collectionunzip/milo-v13-4-3d-3-0
obj                 |bestobj             |time                |
465379.211          |465379.211          |2.517               |KS1
420686.527          |420686.527          |6.524               |KS2
377427.234          |377427.234          |11.358              |KS2
363567.941          |363567.941          |18.631              |lns2
327730.769          |327730.769          |26.339              |lns
306697.379          |306697.379          |44.400              |lns
273238.086          |273238.086          |57.162              |lns
273238.086          |273238.086          |70.175              |random
273238.086          |273238.086          |471.140             |random
total time : 1000.1060938835144
