/media/sunyu/OS1/suanli/collectionunzip/n3709
obj                 |bestobj             |time                |
1313630.000         |1313630.000         |50.394              |INIT
1308598.000         |1308598.000         |100.463             |KS2
1307030.000         |1307030.000         |150.528             |KS2
1300193.000         |1300193.000         |200.595             |KS2
1296269.000         |1296269.000         |218.334             |crossover
1295657.000         |1295657.000         |318.794             |lns
1295090.000         |1295090.000         |677.585             |random
1294336.000         |1294336.000         |915.916             |random
1293840.000         |1293840.000         |1000.048            |lns
total time : 1000.0483009815216
