/media/sunyu/OS1/suanli/collectionunzip/neos-2328163-agri
obj                 |bestobj             |time                |
30209.000           |30209.000           |85.913              |KS1
30189.000           |30189.000           |91.228              |lns2
29973.000           |29973.000           |93.033              |lns2
29663.000           |29663.000           |95.503              |lns2
29463.000           |29463.000           |98.976              |lns2
29230.000           |29230.000           |99.315              |lns
29123.000           |29123.000           |99.467              |lns
28995.000           |28995.000           |99.824              |lns2
28925.000           |28925.000           |99.907              |lns
28819.000           |28819.000           |880.340             |lns2
28693.000           |28693.000           |880.794             |lns
28603.000           |28603.000           |883.533             |lns
28501.000           |28501.000           |889.307             |lns2
28455.000           |28455.000           |917.290             |random
28432.000           |28432.000           |917.391             |lns
28374.000           |28374.000           |939.220             |lns2
total time : 1000.1852035522461
