/media/sunyu/OS1/suanli/collectionunzip/neos-2629914-sudost
obj                 |bestobj             |time                |
48528.000           |48528.000           |50.691              |INIT
48424.000           |48424.000           |53.135              |KS2
48388.000           |48388.000           |58.334              |KS2
48382.000           |48382.000           |111.814             |lns
48380.000           |48380.000           |113.856             |lns
48364.000           |48364.000           |114.357             |lns
48334.000           |48334.000           |146.103             |lns2
48330.000           |48330.000           |216.968             |lns
48298.000           |48298.000           |223.607             |lns
48296.000           |48296.000           |279.440             |lns2
48282.000           |48282.000           |384.005             |random
48246.000           |48246.000           |447.288             |lns2
48242.000           |48242.000           |646.798             |lns2
48234.000           |48234.000           |648.957             |lns
total time : 1000.1174731254578
