/media/sunyu/OS1/suanli/collectionunzip/neos-3072252-nete
obj                 |bestobj             |time                |
11883872.000        |11883872.000        |50.018              |INIT
11856746.000        |11856746.000        |52.980              |KS2
11847437.000        |11847437.000        |57.049              |KS2
11833103.000        |11833103.000        |61.753              |KS2
11827523.000        |11827523.000        |64.768              |KS2
11827522.740        |11827522.740        |93.291              |random
11825236.000        |11825236.000        |99.006              |lns
11820975.000        |11820975.000        |113.062             |random
11820975.000        |11820975.000        |122.744             |random
11820974.790        |11820974.790        |149.755             |random
11820974.790        |11820974.790        |150.926             |lns
11820161.000        |11820161.000        |455.455             |lns2
11820161.000        |11820161.000        |462.079             |random
11820161.000        |11820161.000        |468.070             |random
11820161.000        |11820161.000        |526.961             |random
11820161.000        |11820161.000        |549.614             |random
11820160.770        |11820160.770        |570.558             |random
11820160.540        |11820160.540        |592.167             |random
11820160.540        |11820160.540        |601.196             |random
11820023.000        |11820023.000        |669.687             |random
11807698.000        |11807698.000        |675.816             |lns
11807697.780        |11807697.780        |703.093             |random
total time : 1000.0020122528076
