/media/sunyu/OS1/suanli/collectionunzip/neos-3372571-onahau
obj                 |bestobj             |time                |
0.570               |0.570               |22.937              |KS1
0.561               |0.561               |23.515              |KS2
0.561               |0.561               |73.667              |KS2
0.559               |0.559               |76.744              |KS2
0.552               |0.552               |81.206              |KS2
0.552               |0.552               |88.801              |random
0.552               |0.552               |92.958              |random
0.552               |0.552               |96.605              |random
0.551               |0.551               |100.495             |random
0.551               |0.551               |108.130             |random
0.537               |0.537               |113.318             |random
0.534               |0.534               |191.805             |lns
0.525               |0.525               |283.984             |lns
0.521               |0.521               |365.469             |lns2
0.507               |0.507               |377.468             |random
0.501               |0.501               |477.561             |lns
0.486               |0.486               |578.135             |lns
0.484               |0.484               |678.225             |lns
0.480               |0.480               |859.191             |lns2
0.476               |0.476               |868.053             |random
0.474               |0.474               |1000.075            |lns2
total time : 1000.2234833240509
