/media/sunyu/OS1/suanli/collectionunzip/neos-3627168-kasai
obj                 |bestobj             |time                |
1011117.990         |1011117.990         |0.206               |INIT
1010518.830         |1010518.830         |0.685               |KS2
1010357.210         |1010357.210         |2.692               |KS2
1001691.300         |1001691.300         |12.862              |KS2
993123.080          |993123.080          |22.057              |KS2
992623.080          |992623.080          |26.693              |lns
991371.680          |991371.680          |33.853              |lns
991342.630          |991342.630          |38.683              |lns
990299.930          |990299.930          |50.412              |lns
990282.080          |990282.080          |79.703              |lns
988834.120          |988834.120          |90.382              |lns
988747.240          |988747.240          |96.031              |lns2
988598.820          |988598.820          |99.400              |lns
988585.620          |988585.620          |108.878             |lns
988585.620          |988585.620          |113.363             |random
988585.620          |988585.620          |118.697             |random
988585.620          |988585.620          |124.420             |random
988585.620          |988585.620          |198.187             |random
988585.620          |988585.620          |232.155             |random
988585.620          |988585.620          |946.661             |random
total time : 1000.0067436695099
