/media/sunyu/OS1/suanli/collectionunzip/neos-3665875-lesum
obj                 |bestobj             |time                |
4008.130            |4008.130            |2.284               |KS1
4008.130            |4008.130            |2.394               |KS2
3838.650            |3838.650            |2.798               |KS2
3829.620            |3829.620            |3.066               |KS2
3751.300            |3751.300            |6.647               |lns2
3703.040            |3703.040            |7.498               |lns
3635.150            |3635.150            |10.344              |random
3633.180            |3633.180            |13.184              |lns
3368.050            |3368.050            |27.029              |lns
3368.050            |3368.050            |31.596              |random
3368.050            |3368.050            |81.435              |random
3368.050            |3368.050            |228.983             |random
total time : 1000.0857489109039
