/media/sunyu/OS1/suanli/collectionunzip/neos-3754480-nidda
obj                 |bestobj             |time                |
14675.942           |14675.942           |0.445               |INIT
13812.120           |13812.120           |1.483               |KS2
13299.059           |13299.059           |2.480               |KS2
13299.059           |13299.059           |4.037               |KS2
13251.631           |13251.631           |5.661               |lns
12985.767           |12985.767           |6.148               |lns
12985.547           |12985.547           |7.951               |lns
12985.327           |12985.327           |9.711               |lns
12985.317           |12985.317           |10.401              |lns
12985.317           |12985.317           |23.935              |random
12941.288           |12941.288           |25.933              |random
12941.288           |12941.288           |27.583              |random
12941.108           |12941.108           |42.846              |random
12941.108           |12941.108           |100.146             |random
12941.108           |12941.108           |149.167             |random
total time : 1000.0016839504242
