/media/sunyu/OS1/suanli/collectionunzip/neos-4343293-stony
obj                 |bestobj             |time                |
56.042              |56.042              |1.815               |INIT
56.042              |56.042              |7.789               |KS2
50.213              |50.213              |66.926              |KS2
48.799              |48.799              |96.627              |lns
47.799              |47.799              |134.192             |lns
47.799              |47.799              |182.557             |random
47.385              |47.385              |226.791             |lns
47.385              |47.385              |343.796             |random
47.385              |47.385              |492.005             |random
total time : 1000.6837680339813
