/media/sunyu/OS1/suanli/collectionunzip/neos-5076235-embley
obj                 |bestobj             |time                |
2976.000            |2976.000            |10.585              |INIT
2628.000            |2628.000            |60.897              |KS2
2610.000            |2610.000            |111.114             |KS2
2596.000            |2596.000            |161.385             |KS2
2578.000            |2578.000            |261.928             |KS2
2542.000            |2542.000            |312.121             |KS2
2522.000            |2522.000            |338.760             |lns2
2518.000            |2518.000            |381.381             |random
2516.000            |2516.000            |387.891             |lns
2514.000            |2514.000            |421.504             |lns2
2494.000            |2494.000            |448.167             |lns2
2486.000            |2486.000            |498.519             |lns2
2474.000            |2474.000            |515.049             |lns
2452.000            |2452.000            |617.192             |lns
2452.000            |2452.000            |648.798             |random
2434.000            |2434.000            |688.093             |random
2428.000            |2428.000            |728.138             |random
2424.000            |2424.000            |758.110             |random
2420.000            |2420.000            |784.455             |lns2
2414.000            |2414.000            |797.460             |lns
2408.000            |2408.000            |857.076             |lns2
total time : 1000.282886505127
