/media/sunyu/OS1/suanli/collectionunzip/neos-5093327-huahum
obj                 |bestobj             |time                |
8236.000            |8236.000            |90.502              |KS1
7256.000            |7256.000            |140.765             |KS2
6852.000            |6852.000            |241.132             |KS2
6723.990            |6723.990            |291.291             |KS2
6723.990            |6723.990            |341.478             |KS2
6723.990            |6723.990            |395.942             |crossover
6704.000            |6704.000            |427.490             |lns2
6628.000            |6628.000            |468.118             |lns2
6628.000            |6628.000            |676.448             |random
total time : 1000.5430686473846
