/media/sunyu/OS1/suanli/collectionunzip/neos-5102383-irwell
obj                 |bestobj             |time                |
2412.000            |2412.000            |19.856              |INIT
2342.000            |2342.000            |70.118              |KS2
2330.000            |2330.000            |120.438             |KS2
2322.000            |2322.000            |267.736             |lns
2292.000            |2292.000            |298.709             |lns
2288.000            |2288.000            |406.620             |lns
2284.000            |2284.000            |506.964             |lns
2252.000            |2252.000            |607.277             |lns
2244.000            |2244.000            |664.603             |lns
2240.000            |2240.000            |792.820             |lns2
2238.000            |2238.000            |867.713             |random
2234.000            |2234.000            |877.407             |lns
total time : 1000.2995090484619
