/media/sunyu/OS1/suanli/collectionunzip/neos-5107597-kakapo
obj                 |bestobj             |time                |
27045.000           |27045.000           |8.830               |KS1
25884.000           |25884.000           |15.866              |KS2
25119.000           |25119.000           |24.731              |KS2
25047.000           |25047.000           |70.169              |lns2
25011.000           |25011.000           |83.071              |lns
24858.000           |24858.000           |115.354             |random
24723.000           |24723.000           |123.514             |lns
24633.000           |24633.000           |139.909             |lns
24021.000           |24021.000           |152.324             |lns
23949.000           |23949.000           |187.335             |random
23157.000           |23157.000           |203.354             |lns
22680.000           |22680.000           |225.545             |lns2
22680.000           |22680.000           |311.778             |random
22617.000           |22617.000           |334.688             |lns2
22617.000           |22617.000           |372.436             |lns2
22095.000           |22095.000           |432.127             |lns2
21591.000           |21591.000           |452.604             |lns
21501.000           |21501.000           |496.274             |random
21393.000           |21393.000           |746.734             |lns2
20007.000           |20007.000           |770.619             |lns
19818.000           |19818.000           |788.534             |lns
19791.000           |19791.000           |802.061             |lns
19728.000           |19728.000           |814.527             |lns
19161.000           |19161.000           |835.567             |lns2
19107.000           |19107.000           |922.550             |lns2
total time : 1001.1037616729736
