/media/sunyu/OS1/suanli/collectionunzip/neos-5196530-nuhaka
obj                 |bestobj             |time                |
0.069               |0.069               |70.174              |KS1
0.064               |0.064               |70.748              |KS2
0.064               |0.064               |71.327              |KS2
0.015               |0.015               |72.292              |KS2
0.014               |0.014               |85.789              |lns
0.013               |0.013               |95.219              |lns
0.013               |0.013               |148.137             |random
0.012               |0.012               |200.596             |random
0.012               |0.012               |249.087             |random
0.012               |0.012               |361.856             |random
0.012               |0.012               |505.325             |random
0.012               |0.012               |726.242             |random
0.012               |0.012               |1007.144            |random
total time : 1007.1448481082916
