/media/sunyu/OS1/suanli/collectionunzip/neos-873061
obj                 |bestobj             |time                |
141.030             |141.030             |56.086              |INIT
138.960             |138.960             |107.113             |KS2
130.917             |130.917             |157.927             |KS2
123.095             |123.095             |208.803             |KS2
117.304             |117.304             |250.647             |crossover
117.282             |117.282             |352.017             |lns
117.275             |117.275             |554.378             |lns
115.216             |115.216             |756.248             |lns
115.216             |115.216             |1946.962            |random
total time : 1946.9682395458221
