/media/sunyu/OS1/suanli/collectionunzip/nsr8k
obj                 |bestobj             |time                |
5160465383.073      |5160465383.073      |356.202             |INIT
3500056469.111      |3500056469.111      |406.539             |KS2
3500020133.111      |3500020133.111      |456.848             |KS2
3472084714.444      |3472084714.444      |557.493             |KS2
1346813379.016      |1346813379.016      |607.897             |crossover
1056316763.023      |1056316763.023      |708.468             |lns
1046884670.031      |1046884670.031      |808.934             |lns
1042675200.118      |1042675200.118      |909.318             |lns
1039778023.075      |1039778023.075      |1000.272            |lns
total time : 1000.2733573913574
