/media/sunyu/OS1/suanli/collectionunzip/opm2-z12-s8
obj                 |bestobj             |time                |
-5802.000           |-5802.000           |456.977             |INIT
-5994.000           |-5994.000           |457.698             |KS2
-6017.000           |-6017.000           |458.442             |KS2
-11503.000          |-11503.000          |459.232             |KS2
-27231.000          |-27231.000          |460.131             |KS2
-36020.000          |-36020.000          |461.765             |KS2
-36158.000          |-36158.000          |463.439             |lns
-37866.000          |-37866.000          |464.857             |lns
-38089.000          |-38089.000          |465.620             |lns
-39379.000          |-39379.000          |467.521             |lns
-39777.000          |-39777.000          |468.277             |lns
-39889.000          |-39889.000          |469.929             |lns
-40385.000          |-40385.000          |472.292             |lns
-41161.000          |-41161.000          |475.133             |lns
-41304.000          |-41304.000          |477.309             |lns
-41847.000          |-41847.000          |937.173             |lns2
-41853.000          |-41853.000          |939.453             |random
-41938.000          |-41938.000          |941.666             |lns
-42092.000          |-42092.000          |944.837             |lns
-42093.000          |-42093.000          |946.514             |lns
total time : 1406.456439256668
