/media/sunyu/OS1/suanli/collectionunzip/sing44
obj                 |bestobj             |time                |
8268767.983         |8268767.983         |112.548             |INIT
8181124.033         |8181124.033         |163.001             |KS2
8181124.033         |8181124.033         |213.455             |KS2
8158720.887         |8158720.887         |263.895             |KS2
8157849.459         |8157849.459         |264.715             |KS2
8154852.138         |8154852.138         |365.984             |lns
8154811.449         |8154811.449         |421.378             |lns
8152016.415         |8152016.415         |521.995             |lns
8151494.106         |8151494.106         |622.563             |lns
8150494.790         |8150494.790         |830.673             |lns
total time : 1130.5996828079224
