/media/sunyu/OS1/suanli/collectionunzip/sp98ar
obj                 |bestobj             |time                |
558482944.000       |558482944.000       |52.159              |INIT
554150274.880       |554150274.880       |52.781              |KS2
543736557.760       |543736557.760       |89.075              |KS2
541363761.920       |541363761.920       |139.183             |KS2
539781156.640       |539781156.640       |189.302             |KS2
539185031.840       |539185031.840       |194.563             |crossover
538216306.400       |538216306.400       |197.291             |lns
538216303.520       |538216303.520       |204.492             |lns
535938220.800       |535938220.800       |211.101             |lns
535353092.000       |535353092.000       |214.387             |lns
535353091.040       |535353091.040       |222.787             |lns
535063527.680       |535063527.680       |230.699             |lns
533649395.040       |533649395.040       |260.615             |lns
533028252.960       |533028252.960       |275.238             |lns
total time : 1001.8787522315979
