/media/sunyu/OS1/suanli/collectionunzip/supportcase25
obj                 |bestobj             |time                |
0.063               |0.063               |21.364              |INIT
0.059               |0.059               |41.535              |KS2
0.059               |0.059               |63.565              |KS2
0.056               |0.056               |78.368              |lns
0.055               |0.055               |101.406             |lns
0.053               |0.053               |244.208             |lns2
0.053               |0.053               |397.326             |random
0.053               |0.053               |460.336             |random
0.052               |0.052               |611.790             |random
0.051               |0.051               |662.849             |random
0.051               |0.051               |711.729             |random
0.050               |0.050               |927.995             |random
total time : 1000.7888851165771
