/media/sunyu/OS1/suanli/collectionunzip/swath3
obj                 |bestobj             |time                |
404.831             |404.831             |15.613              |INIT
402.071             |402.071             |28.298              |KS2
400.482             |400.482             |42.990              |KS2
400.395             |400.395             |48.765              |KS2
400.395             |400.395             |51.692              |random
397.765             |397.765             |63.172              |lns
397.765             |397.765             |74.542              |random
397.765             |397.765             |88.471              |random
397.761             |397.761             |112.918             |lns2
397.761             |397.761             |135.276             |random
397.761             |397.761             |151.545             |random
total time : 1000.1421270370483
