/media/sunyu/OS1/suanli/collectionunzip/usAbbrv-8-25_70
obj                 |bestobj             |time                |
158.000             |158.000             |11.006              |INIT
155.000             |155.000             |12.396              |KS2
142.000             |142.000             |20.138              |KS2
136.000             |136.000             |20.822              |KS2
127.000             |127.000             |21.937              |KS2
126.000             |126.000             |32.188              |random
125.000             |125.000             |133.777             |random
124.000             |124.000             |524.606             |lns2
123.000             |123.000             |545.871             |lns2
total time : 1000.2205092906952
