/media/sunyu/OS1/suanli/collectionunzip/SET3_19
obj                 |bestobj             |time                |
2769623.025         |2769623.025         |0.040               |INIT
189741.744          |189741.744          |50.052              |KS2
171575.221          |171575.221          |100.065             |KS2
171575.221          |171575.221          |150.077             |KS2
168668.025          |168668.025          |200.095             |lns
163058.603          |163058.603          |250.106             |lns
161368.408          |161368.408          |300.117             |lns
160354.428          |160354.428          |350.128             |lns
160265.596          |160265.596          |400.176             |lns
159792.844          |159792.844          |451.376             |random
159748.611          |159748.611          |506.393             |random
159662.764          |159662.764          |556.402             |lns
158396.334          |158396.334          |606.411             |lns
158372.935          |158372.935          |656.457             |lns
156696.865          |156696.865          |764.811             |random
156567.878          |156567.878          |814.820             |lns
155778.471          |155778.471          |864.865             |lns
155127.227          |155127.227          |938.769             |random
155127.227          |155127.227          |992.887             |random
total time : 1000.1177954673767
