/media/sunyu/OS1/suanli/collectionunzip/anonymous_19
obj                 |bestobj             |time                |
179706.084          |179706.084          |50.401              |INIT
97944.935           |97944.935           |55.952              |KS2
96232.808           |96232.808           |105.993             |KS2
96232.787           |96232.787           |106.683             |lns
96232.787           |96232.787           |107.165             |random
96232.767           |96232.767           |108.255             |lns
96187.891           |96187.891           |109.316             |random
96159.747           |96159.747           |159.666             |lns
96159.742           |96159.742           |209.699             |lns
96159.740           |96159.740           |259.733             |lns
96159.739           |96159.739           |309.765             |lns
96159.738           |96159.738           |359.798             |lns
95454.595           |95454.595           |393.683             |random
91105.512           |91105.512           |443.715             |lns
91105.492           |91105.492           |493.746             |lns
91041.229           |91041.229           |544.339             |random
89281.229           |89281.229           |594.653             |lns
89281.219           |89281.219           |645.093             |random
86895.411           |86895.411           |695.123             |lns
86895.401           |86895.401           |745.530             |random
86895.391           |86895.391           |795.559             |lns
86895.391           |86895.391           |846.022             |random
86888.885           |86888.885           |896.426             |lns
86888.885           |86888.885           |946.518             |random
86888.875           |86888.875           |996.546             |lns
total time : 1000.1184692382812
