/media/sunyu/OS1/suanli/collectionunzip/b2c1s1
obj                 |bestobj             |time                |
62719.520           |62719.520           |3.658               |KS1
29433.960           |29433.960           |53.663              |KS2
27645.320           |27645.320           |103.668             |KS2
27553.500           |27553.500           |153.674             |KS2
27336.660           |27336.660           |154.252             |lns
26991.090           |26991.090           |230.154             |random
26233.310           |26233.310           |280.158             |lns
26180.360           |26180.360           |380.165             |random
26180.360           |26180.360           |480.218             |random
26038.350           |26038.350           |639.510             |random
25988.350           |25988.350           |689.556             |lns
25903.970           |25903.970           |739.563             |lns
25889.630           |25889.630           |839.611             |random
25789.630           |25789.630           |889.655             |lns
25789.630           |25789.630           |981.421             |random
total time : 1000.1067087650299
