/media/sunyu/OS1/suanli/collectionunzip/bab3
obj                 |bestobj             |time                |
-618590.017         |-618590.017         |383.905             |KS1
-624171.573         |-624171.573         |390.010             |KS2
-626220.407         |-626220.407         |394.473             |KS2
-638729.953         |-638729.953         |447.770             |KS2
-644690.483         |-644690.483         |499.964             |lns
-644690.485         |-644690.485         |588.300             |lns
-645156.850         |-645156.850         |597.799             |lns
-645156.852         |-645156.852         |680.154             |lns
-645156.852         |-645156.852         |772.202             |random
-645407.161         |-645407.161         |857.139             |lns
-645664.484         |-645664.484         |909.948             |lns
-645698.735         |-645698.735         |997.632             |random
total time : 1007.4521822929382
