/media/sunyu/OS1/suanli/collectionunzip/bg512142
obj                 |bestobj             |time                |
36535768.000        |36535768.000        |0.298               |INIT
308036.000          |308036.000          |50.303              |KS2
202463.167          |202463.167          |100.308             |KS2
198085.000          |198085.000          |150.314             |KS2
198084.999          |198084.999          |200.320             |crossover
197918.998          |197918.998          |200.871             |random
196264.000          |196264.000          |203.812             |lns
195630.333          |195630.333          |254.593             |random
195615.664          |195615.664          |324.400             |random
193274.498          |193274.498          |374.436             |lns
193269.497          |193269.497          |424.438             |lns
193115.488          |193115.488          |524.444             |random
192970.961          |192970.961          |574.447             |lns
192970.959          |192970.959          |624.450             |lns
192292.427          |192292.427          |674.485             |lns
192147.438          |192147.438          |774.492             |random
192108.500          |192108.500          |874.500             |random
188915.500          |188915.500          |924.535             |lns
188594.500          |188594.500          |974.570             |lns
188594.500          |188594.500          |1000.108            |random
total time : 1000.1079351902008
