/media/sunyu/OS1/suanli/collectionunzip/bmocbd3
obj                 |bestobj             |time                |
27860007648.505     |27860007648.505     |57.977              |INIT
225648174.385       |225648174.385       |109.135             |KS2
225648161.385       |225648161.385       |160.184             |KS2
225648159.885       |225648159.885       |211.192             |KS2
110739391.288       |110739391.288       |262.481             |crossover
-277743541.318      |-277743541.318      |313.987             |lns
-302619326.854      |-302619326.854      |369.078             |lns
-302619327.854      |-302619327.854      |420.008             |lns
-303479509.024      |-303479509.024      |475.149             |lns
-306137148.007      |-306137148.007      |526.066             |lns
-307858128.384      |-307858128.384      |581.388             |lns
-365204771.468      |-365204771.468      |688.116             |random
-368195115.150      |-368195115.150      |743.501             |lns
-368198994.734      |-368198994.734      |798.843             |lns
-368198995.022      |-368198995.022      |951.933             |random
total time : 1001.7985174655914
