/media/sunyu/OS1/suanli/collectionunzip/cmflsp50-24-8-8
obj                 |bestobj             |time                |
57010764.864        |57010764.864        |50.224              |INIT
56838280.477        |56838280.477        |100.239             |KS2
56664907.233        |56664907.233        |150.251             |KS2
56659214.989        |56659214.989        |200.566             |lns
56611564.190        |56611564.190        |268.680             |random
56605692.242        |56605692.242        |318.689             |lns
56605692.242        |56605692.242        |368.938             |random
56598010.866        |56598010.866        |497.242             |random
56530275.063        |56530275.063        |547.252             |lns
56525998.831        |56525998.831        |601.141             |random
56518171.590        |56518171.590        |651.150             |lns
total time : 1000.0078539848328
