/media/sunyu/OS1/suanli/collectionunzip/core4872-1529
obj                 |bestobj             |time                |
1566.000            |1566.000            |51.229              |INIT
1551.000            |1551.000            |101.661             |KS2
1546.000            |1546.000            |151.839             |KS2
1545.000            |1545.000            |338.078             |random
1544.000            |1544.000            |404.724             |lns
1543.000            |1543.000            |460.865             |random
1542.000            |1542.000            |530.757             |random
1541.000            |1541.000            |661.322             |random
1540.000            |1540.000            |910.008             |random
total time : 1000.1067962646484
