/media/sunyu/OS1/suanli/collectionunzip/dfn-bwin-DBE
obj                 |bestobj             |time                |
77156.270           |77156.270           |50.036              |INIT
76356.190           |76356.190           |100.057             |KS2
73987.790           |73987.790           |150.076             |KS2
73987.790           |73987.790           |200.095             |KS2
73978.990           |73978.990           |260.224             |random
73918.190           |73918.190           |310.238             |lns
73914.190           |73914.190           |410.296             |random
73836.590           |73836.590           |460.351             |random
73836.590           |73836.590           |560.430             |random
total time : 1000.0112864971161
