/media/sunyu/OS1/suanli/collectionunzip/ds-big
obj                 |bestobj             |time                |
1020.727            |1020.727            |239.352             |KS1
958.958             |958.958             |241.483             |KS2
890.223             |890.223             |243.629             |KS2
794.693             |794.693             |295.057             |KS2
786.605             |786.605             |357.738             |random
744.592             |744.592             |413.258             |random
736.592             |736.592             |464.311             |lns
726.553             |726.553             |521.238             |random
717.309             |717.309             |672.373             |random
608.237             |608.237             |831.253             |random
total time : 1002.3674137592316
