/media/sunyu/OS1/suanli/collectionunzip/dws012-02
obj                 |bestobj             |time                |
140713.585          |140713.585          |101.582             |KS1
140192.507          |140192.507          |151.845             |KS2
135472.704          |135472.704          |202.081             |KS2
135472.704          |135472.704          |252.307             |KS2
135472.629          |135472.629          |303.009             |lns
135472.629          |135472.629          |354.736             |random
132257.112          |132257.112          |405.282             |lns
130184.514          |130184.514          |455.460             |lns
129905.036          |129905.036          |556.824             |random
129709.555          |129709.555          |606.989             |lns
129709.553          |129709.553          |657.151             |lns
129623.537          |129623.537          |757.916             |random
129618.528          |129618.528          |904.189             |random
129607.457          |129607.457          |954.349             |lns
129607.457          |129607.457          |1000.459            |random
total time : 1000.4588198661804
