/media/sunyu/OS1/suanli/collectionunzip/eva1aprime5x5opt
obj                 |bestobj             |time                |
1.574               |1.574               |50.203              |INIT
-1.204              |-1.204              |100.208             |KS2
-1.298              |-1.298              |200.217             |KS2
-1.777              |-1.777              |250.223             |lns
-1.933              |-1.933              |300.588             |random
-2.027              |-2.027              |400.596             |random
-2.039              |-2.039              |482.340             |random
-2.101              |-2.101              |541.883             |random
-2.108              |-2.108              |600.641             |random
-2.147              |-2.147              |700.649             |random
-2.147              |-2.147              |795.256             |random
-2.275              |-2.275              |949.630             |random
-2.275              |-2.275              |1000.004            |random
total time : 1000.0047059059143
