/media/sunyu/OS1/suanli/collectionunzip/fhnw-schedule-paira100
obj                 |bestobj             |time                |
-3.298              |-3.298              |29.103              |INIT
-3.728              |-3.728              |39.400              |random
-4.279              |-4.279              |59.967              |lns
-4.652              |-4.652              |66.708              |random
-4.974              |-4.974              |112.579             |random
-5.713              |-5.713              |162.752             |lns
-5.885              |-5.885              |220.813             |random
-6.107              |-6.107              |359.217             |random
-6.146              |-6.146              |456.478             |random
-6.247              |-6.247              |489.278             |random
-6.465              |-6.465              |930.295             |random
total time : 1000.0212833881378
