/media/sunyu/OS1/suanli/collectionunzip/hgms-det
obj                 |bestobj             |time                |
-47297.368          |-47297.368          |0.982               |INIT
-47297.864          |-47297.864          |1.602               |KS2
-47308.906          |-47308.906          |1.945               |KS2
-47308.906          |-47308.906          |2.133               |KS2
-47309.157          |-47309.157          |21.902              |random
-47309.328          |-47309.328          |71.907              |lns
-47309.712          |-47309.712          |122.194             |random
-47309.712          |-47309.712          |172.461             |random
-47310.297          |-47310.297          |222.466             |lns
-47310.513          |-47310.513          |272.471             |lns
-47310.601          |-47310.601          |322.554             |lns
-47310.651          |-47310.651          |372.559             |lns
-47311.025          |-47311.025          |424.909             |random
-47311.418          |-47311.418          |476.525             |random
-47311.528          |-47311.528          |526.615             |lns
-47311.928          |-47311.928          |577.120             |random
-47312.150          |-47312.150          |627.206             |lns
-47312.151          |-47312.151          |677.299             |lns
-47312.175          |-47312.175          |728.271             |random
-47312.178          |-47312.178          |778.276             |lns
-47312.180          |-47312.180          |845.025             |random
total time : 1000.0034847259521
