/media/sunyu/OS1/suanli/collectionunzip/hgms62
obj                 |bestobj             |time                |
-44805.669          |-44805.669          |65.200              |INIT
-44805.669          |-44805.669          |71.211              |KS2
-44805.669          |-44805.669          |154.277             |random
-44808.743          |-44808.743          |215.130             |random
-44808.743          |-44808.743          |266.709             |random
-44815.692          |-44815.692          |374.339             |random
-44815.692          |-44815.692          |493.848             |random
-44815.890          |-44815.890          |572.456             |random
-44816.463          |-44816.463          |645.159             |random
-44816.463          |-44816.463          |697.837             |random
-44816.463          |-44816.463          |789.559             |random
total time : 1000.0165138244629
