/media/sunyu/OS1/suanli/collectionunzip/item_placement_9904
obj                 |bestobj             |time                |
11.430              |11.430              |50.016              |INIT
11.049              |11.049              |100.069             |KS2
9.915               |9.915               |150.125             |KS2
9.824               |9.824               |200.181             |KS2
9.824               |9.824               |250.248             |crossover
9.819               |9.819               |300.310             |lns
9.673               |9.673               |501.088             |random
9.171               |9.171               |551.147             |lns
8.900               |8.900               |651.240             |random
8.900               |8.900               |751.348             |random
8.689               |8.689               |851.440             |random
8.673               |8.673               |901.473             |lns
8.623               |8.623               |1000.019            |random
total time : 1000.0193300247192
