/media/sunyu/OS1/suanli/collectionunzip/lotsize
obj                 |bestobj             |time                |
6394800.000         |6394800.000         |0.369               |KS1
1994408.000         |1994408.000         |50.381              |KS2
1664679.000         |1664679.000         |100.393             |KS2
1530263.000         |1530263.000         |150.405             |KS2
1487631.000         |1487631.000         |200.621             |lns
1487057.000         |1487057.000         |250.650             |lns
1487056.992         |1487056.992         |354.154             |random
1484633.000         |1484633.000         |404.185             |lns
1483972.000         |1483972.000         |504.225             |random
1481461.000         |1481461.000         |554.235             |lns
1481460.974         |1481460.974         |654.255             |random
1481460.965         |1481460.965         |754.278             |random
total time : 1000.0074729919434
