/media/sunyu/OS1/suanli/collectionunzip/n3700
obj                 |bestobj             |time                |
1267756.000         |1267756.000         |50.082              |INIT
1262474.000         |1262474.000         |100.123             |KS2
1256967.000         |1256967.000         |150.161             |KS2
1255826.000         |1255826.000         |200.196             |KS2
1249034.000         |1249034.000         |332.172             |random
1248606.000         |1248606.000         |482.335             |random
1248606.000         |1248606.000         |582.398             |random
1248328.000         |1248328.000         |632.426             |lns
1247984.000         |1247984.000         |682.515             |lns
1247706.000         |1247706.000         |732.605             |lns
1243400.000         |1243400.000         |1000.022            |random
total time : 1000.0218486785889
