/media/sunyu/OS1/suanli/collectionunzip/n370b
obj                 |bestobj             |time                |
1301853.000         |1301853.000         |50.093              |INIT
1293872.000         |1293872.000         |100.135             |KS2
1284844.000         |1284844.000         |150.173             |KS2
1280368.000         |1280368.000         |200.211             |KS2
1277358.000         |1277358.000         |250.256             |crossover
1277215.000         |1277215.000         |350.408             |random
1273559.000         |1273559.000         |550.606             |random
1273063.000         |1273063.000         |650.674             |random
1271732.000         |1271732.000         |750.810             |random
1270499.000         |1270499.000         |800.836             |lns
1270305.000         |1270305.000         |850.863             |lns
1269710.000         |1269710.000         |950.926             |random
total time : 1000.155535697937
