/media/sunyu/OS1/suanli/collectionunzip/neos-1067731
obj                 |bestobj             |time                |
1026842.783         |1026842.783         |50.325              |INIT
1026842.783         |1026842.783         |51.187              |KS2
1026842.000         |1026842.000         |53.236              |lns
1026841.592         |1026841.592         |59.345              |lns
1026560.893         |1026560.893         |65.345              |random
1025868.826         |1025868.826         |115.378             |lns
1025646.837         |1025646.837         |165.835             |lns
1025461.582         |1025461.582         |215.868             |lns
1025461.000         |1025461.000         |266.977             |random
1025457.782         |1025457.782         |317.016             |lns
1025456.727         |1025456.727         |367.052             |lns
1025454.227         |1025454.227         |417.535             |lns
1025453.000         |1025453.000         |469.378             |random
1025452.332         |1025452.332         |519.411             |lns
1025450.000         |1025450.000         |586.270             |random
1025449.641         |1025449.641         |636.736             |lns
1025449.492         |1025449.492         |687.196             |lns
1025449.299         |1025449.299         |789.520             |random
1025297.000         |1025297.000         |917.932             |random
1025114.804         |1025114.804         |967.964             |lns
1025114.793         |1025114.793         |1000.027            |lns
total time : 1000.0267577171326
