/media/sunyu/OS1/suanli/collectionunzip/neos-2987202-jeir
obj                 |bestobj             |time                |
-161905442.795      |-161905442.795      |91.889              |INIT
-200676117.656      |-200676117.656      |141.978             |KS2
-211656372.623      |-211656372.623      |192.065             |KS2
-227836507.167      |-227836507.167      |242.142             |KS2
-231178887.428      |-231178887.428      |242.502             |crossover
-366626456.609      |-366626456.609      |252.923             |lns
-446378482.763      |-446378482.763      |302.993             |lns
-1449099027.912     |-1449099027.912     |346.242             |lns
-1821426743.424     |-1821426743.424     |389.558             |lns
-1835490413.175     |-1835490413.175     |496.348             |lns
-1835490435.081     |-1835490435.081     |596.060             |lns
total time : 1000.0521717071533
