/media/sunyu/OS1/suanli/collectionunzip/neos-3615091-sutlej
obj                 |bestobj             |time                |
-419604.000         |-419604.000         |53.121              |INIT
-487836.200         |-487836.200         |55.485              |KS2
-529972.400         |-529972.400         |57.993              |KS2
-541765.400         |-541765.400         |109.217             |KS2
-687197.200         |-687197.200         |163.289             |lns
-731965.200         |-731965.200         |309.627             |lns
-740264.400         |-740264.400         |360.749             |lns
-742466.000         |-742466.000         |490.912             |random
-756035.000         |-756035.000         |606.073             |lns
-762921.800         |-762921.800         |657.018             |lns
-774417.800         |-774417.800         |761.790             |random
-777501.000         |-777501.000         |812.700             |lns
-778767.000         |-778767.000         |863.607             |lns
-792907.800         |-792907.800         |916.666             |random
total time : 1002.0508399009705
