/media/sunyu/OS1/suanli/collectionunzip/neos-3627168-kasai
obj                 |bestobj             |time                |
1002240.780         |1002240.780         |0.047               |INIT
992497.240          |992497.240          |0.207               |KS2
988747.240          |988747.240          |50.213              |KS2
988747.240          |988747.240          |50.275              |random
988747.240          |988747.240          |50.315              |random
988585.620          |988585.620          |50.381              |random
988585.620          |988585.620          |354.358             |random
988585.619          |988585.619          |717.608             |random
988585.619          |988585.619          |718.934             |random
988585.619          |988585.619          |851.704             |random
988585.619          |988585.619          |951.801             |random
total time : 1000.0033574104309
