/media/sunyu/OS1/suanli/collectionunzip/neos-4387871-tavua
obj                 |bestobj             |time                |
36.213              |36.213              |50.045              |INIT
35.556              |35.556              |150.081             |KS2
35.556              |35.556              |200.097             |KS2
35.556              |35.556              |226.212             |random
34.213              |34.213              |276.224             |lns
34.213              |34.213              |336.745             |random
34.213              |34.213              |387.320             |random
34.213              |34.213              |438.564             |random
34.213              |34.213              |489.335             |random
34.213              |34.213              |543.075             |random
34.213              |34.213              |655.801             |random
total time : 1000.0092706680298
