/media/sunyu/OS1/suanli/collectionunzip/neos-4954672-berkel
obj                 |bestobj             |time                |
11182960.000        |11182960.000        |0.017               |INIT
8467595.000         |8467595.000         |0.026               |KS2
2669913.000         |2669913.000         |50.032              |KS2
2669631.000         |2669631.000         |52.023              |KS2
2655557.990         |2655557.990         |102.071             |lns
2655557.966         |2655557.966         |152.079             |lns
2653763.000         |2653763.000         |202.636             |random
2653762.997         |2653762.997         |259.222             |random
2649201.000         |2649201.000         |309.229             |lns
2637400.998         |2637400.998         |359.250             |lns
2637400.938         |2637400.938         |439.790             |random
2637400.926         |2637400.926         |497.703             |random
2627082.921         |2627082.921         |557.741             |random
2620793.000         |2620793.000         |607.762             |lns
2620792.992         |2620792.992         |709.991             |random
2620792.973         |2620792.973         |761.187             |random
2620792.844         |2620792.844         |826.143             |random
2620792.570         |2620792.570         |926.169             |random
2620791.487         |2620791.487         |1000.004            |random
total time : 1000.0043361186981
