/media/sunyu/OS1/suanli/collectionunzip/neos-5151569-mologa
obj                 |bestobj             |time                |
687293483.102       |687293483.102       |23.389              |INIT
687292960.164       |687292960.164       |23.959              |KS2
687080854.288       |687080854.288       |74.667              |KS2
687029583.966       |687029583.966       |124.917             |lns
687024808.303       |687024808.303       |175.068             |lns
687022454.625       |687022454.625       |225.218             |lns
687017833.977       |687017833.977       |275.374             |lns
687016758.867       |687016758.867       |326.633             |lns
687013531.921       |687013531.921       |376.781             |lns
687012905.803       |687012905.803       |427.007             |lns
687012529.988       |687012529.988       |477.203             |lns
686995116.308       |686995116.308       |528.980             |random
686988457.033       |686988457.033       |580.244             |lns
686987061.184       |686987061.184       |630.389             |lns
686980009.760       |686980009.760       |680.536             |lns
686977977.956       |686977977.956       |731.727             |lns
686974695.788       |686974695.788       |782.986             |lns
686973551.540       |686973551.540       |834.230             |lns
686971700.502       |686971700.502       |884.375             |lns
686971700.502       |686971700.502       |936.443             |random
686944747.390       |686944747.390       |995.941             |random
total time : 1000.3520467281342
