/media/sunyu/OS1/suanli/collectionunzip/neos-5196530-nuhaka
obj                 |bestobj             |time                |
0.015               |0.015               |7.337               |KS1
0.012               |0.012               |7.526               |KS2
0.012               |0.012               |7.678               |KS2
0.012               |0.012               |7.829               |KS2
0.012               |0.012               |7.941               |crossover
0.012               |0.012               |8.223               |random
0.012               |0.012               |8.922               |random
0.012               |0.012               |9.678               |random
0.012               |0.012               |9.983               |random
0.012               |0.012               |10.285              |random
0.012               |0.012               |11.499              |random
0.012               |0.012               |62.158              |random
0.012               |0.012               |63.154              |random
0.011               |0.011               |86.071              |random
0.011               |0.011               |111.874             |random
0.011               |0.011               |112.587             |random
0.011               |0.011               |113.185             |random
0.011               |0.011               |113.904             |random
0.011               |0.011               |114.476             |random
0.011               |0.011               |115.049             |random
0.011               |0.011               |115.691             |random
0.011               |0.011               |152.365             |random
0.011               |0.011               |153.235             |random
0.011               |0.011               |154.098             |random
0.011               |0.011               |155.078             |random
0.011               |0.011               |155.886             |random
0.011               |0.011               |159.084             |random
0.011               |0.011               |164.279             |random
0.011               |0.011               |167.969             |random
0.011               |0.011               |168.762             |random
0.011               |0.011               |172.341             |random
0.011               |0.011               |173.480             |random
0.011               |0.011               |178.685             |random
0.011               |0.011               |179.473             |random
0.011               |0.011               |196.424             |random
0.011               |0.011               |220.335             |random
0.011               |0.011               |221.288             |random
0.011               |0.011               |223.936             |random
0.011               |0.011               |240.152             |random
0.011               |0.011               |240.974             |random
0.011               |0.011               |257.770             |random
0.011               |0.011               |277.670             |random
0.011               |0.011               |279.567             |random
0.011               |0.011               |280.374             |random
0.011               |0.011               |298.451             |random
0.011               |0.011               |301.066             |random
0.011               |0.011               |319.225             |random
0.011               |0.011               |320.545             |random
0.011               |0.011               |351.836             |random
0.011               |0.011               |384.070             |random
0.011               |0.011               |387.180             |random
0.011               |0.011               |420.630             |random
0.011               |0.011               |434.938             |random
0.011               |0.011               |449.581             |random
0.011               |0.011               |477.342             |random
0.011               |0.011               |493.360             |random
0.011               |0.011               |515.277             |random
0.011               |0.011               |638.319             |random
0.011               |0.011               |749.877             |random
0.011               |0.011               |884.402             |random
0.011               |0.011               |941.781             |random
total time : 1000.1030132770538
