/media/sunyu/OS1/suanli/collectionunzip/neos-5261882-treska
obj                 |bestobj             |time                |
51614.874           |51614.874           |50.036              |INIT
51614.871           |51614.871           |150.251             |lns
51614.867           |51614.867           |200.269             |lns
51614.865           |51614.865           |250.287             |lns
51614.863           |51614.863           |409.803             |random
51614.861           |51614.861           |467.270             |random
51614.860           |51614.860           |529.602             |random
51614.859           |51614.859           |594.476             |random
51614.856           |51614.856           |727.529             |random
51614.855           |51614.855           |804.691             |random
total time : 1000.0201995372772
