/media/sunyu/OS1/suanli/collectionunzip/neos-5266653-tugela
obj                 |bestobj             |time                |
132763.550          |132763.550          |81.901              |KS1
82899.038           |82899.038           |132.082             |KS2
74136.280           |74136.280           |182.250             |KS2
69248.421           |69248.421           |232.411             |KS2
68920.101           |68920.101           |287.727             |random
68409.063           |68409.063           |338.079             |lns
68409.063           |68409.063           |395.764             |random
68409.060           |68409.060           |517.718             |random
68409.059           |68409.059           |618.910             |random
68409.055           |68409.055           |797.697             |random
68082.326           |68082.326           |955.496             |random
total time : 1000.3490164279938
