/media/sunyu/OS1/suanli/collectionunzip/ns1690781
obj                 |bestobj             |time                |
-887.211            |-887.211            |50.158              |INIT
-918.494            |-918.494            |100.185             |KS2
-919.980            |-919.980            |150.209             |KS2
-921.305            |-921.305            |200.232             |KS2
-921.327            |-921.327            |350.499             |random
-921.726            |-921.726            |400.520             |lns
-921.742            |-921.742            |450.540             |lns
-921.784            |-921.784            |501.301             |random
-921.941            |-921.941            |551.320             |lns
-921.941            |-921.941            |601.704             |random
-922.139            |-922.139            |651.723             |lns
-922.169            |-922.169            |751.899             |random
-922.305            |-922.305            |802.054             |lns
-922.384            |-922.384            |902.094             |random
-922.403            |-922.403            |952.242             |lns
-922.403            |-922.403            |1000.136            |random
total time : 1000.1364796161652
