/media/sunyu/OS1/suanli/collectionunzip/opm2-z12-s8
obj                 |bestobj             |time                |
-9750.000           |-9750.000           |23.217              |INIT
-18059.000          |-18059.000          |23.494              |KS2
-30037.000          |-30037.000          |23.776              |KS2
-33777.000          |-33777.000          |24.531              |random
-34198.000          |-34198.000          |24.790              |lns
-37542.000          |-37542.000          |25.356              |random
-38314.000          |-38314.000          |25.625              |lns
-38656.000          |-38656.000          |70.607              |lns
-41066.000          |-41066.000          |71.107              |random
-41735.000          |-41735.000          |71.401              |lns
-43068.000          |-43068.000          |71.942              |random
-43857.000          |-43857.000          |72.216              |lns
-44631.000          |-44631.000          |117.473             |lns
-44642.000          |-44642.000          |117.736             |lns
-45346.000          |-45346.000          |118.244             |random
-46495.000          |-46495.000          |163.206             |lns
-46604.000          |-46604.000          |209.355             |lns
-47379.000          |-47379.000          |254.000             |random
-47778.000          |-47778.000          |254.329             |lns
-48261.000          |-48261.000          |298.900             |lns
-48262.000          |-48262.000          |299.216             |lns
-48264.000          |-48264.000          |342.721             |lns
-48767.000          |-48767.000          |387.067             |random
-48825.000          |-48825.000          |387.404             |lns
-48888.000          |-48888.000          |387.968             |random
-48935.000          |-48935.000          |388.354             |lns
-49270.000          |-49270.000          |432.431             |lns
-49286.000          |-49286.000          |432.770             |lns
-49427.000          |-49427.000          |433.374             |random
-49513.000          |-49513.000          |477.380             |lns
-49877.000          |-49877.000          |477.969             |random
-49940.000          |-49940.000          |523.920             |lns
-50025.000          |-50025.000          |568.291             |random
-50056.000          |-50056.000          |613.563             |lns
-50058.000          |-50058.000          |613.891             |lns
-50164.000          |-50164.000          |658.447             |random
-50169.000          |-50169.000          |703.287             |lns
-50174.000          |-50174.000          |703.620             |lns
-50240.000          |-50240.000          |749.419             |random
-50242.000          |-50242.000          |749.768             |lns
-50373.000          |-50373.000          |750.638             |random
-50375.000          |-50375.000          |750.987             |lns
-50478.000          |-50478.000          |751.607             |random
-50546.000          |-50546.000          |752.008             |lns
-50588.000          |-50588.000          |752.865             |random
-50731.000          |-50731.000          |798.261             |lns
-50827.000          |-50827.000          |843.442             |random
-50944.000          |-50944.000          |843.887             |lns
-50995.000          |-50995.000          |890.144             |random
-51059.000          |-51059.000          |936.245             |lns
-51072.000          |-51072.000          |983.756             |random
total time : 1000.5226948261261
