/media/sunyu/OS1/suanli/collectionunzip/rmine13
obj                 |bestobj             |time                |
-3042.437           |-3042.437           |62.450              |INIT
-3376.177           |-3376.177           |112.647             |KS2
-3392.552           |-3392.552           |145.911             |KS2
-3493.465           |-3493.465           |208.845             |lns
-3493.729           |-3493.729           |259.081             |lns
-3494.162           |-3494.162           |309.238             |lns
-3494.204           |-3494.204           |359.396             |lns
-3494.245           |-3494.245           |449.704             |lns
-3494.345           |-3494.345           |499.860             |lns
-3494.350           |-3494.350           |550.015             |lns
total time : 1000.0466248989105
