/media/sunyu/OS1/suanli/collectionunzip/rocII-5-11
obj                 |bestobj             |time                |
-4.670              |-4.670              |7.994               |KS1
-4.670              |-4.670              |8.144               |KS2
-4.670              |-4.670              |8.276               |KS2
-4.670              |-4.670              |8.764               |random
-4.670              |-4.670              |9.125               |random
-4.670              |-4.670              |10.100              |random
-5.658              |-5.658              |10.443              |lns
-5.658              |-5.658              |11.101              |random
-5.658              |-5.658              |12.206              |random
-5.660              |-5.660              |12.742              |random
-5.668              |-5.668              |13.041              |lns
-5.668              |-5.668              |13.461              |random
-5.674              |-5.674              |14.573              |random
-5.674              |-5.674              |18.815              |random
-5.674              |-5.674              |27.126              |random
-5.674              |-5.674              |33.886              |random
-5.674              |-5.674              |144.096             |random
-5.674              |-5.674              |295.114             |random
total time : 1000.0142250061035
