/media/sunyu/OS1/suanli/collectionunzip/set3-16
obj                 |bestobj             |time                |
2921777.308         |2921777.308         |0.039               |INIT
168565.304          |168565.304          |50.051              |KS2
168251.173          |168251.173          |100.064             |KS2
162328.867          |162328.867          |150.076             |KS2
158388.313          |158388.313          |200.092             |crossover
157269.568          |157269.568          |250.109             |lns
155650.040          |155650.040          |318.190             |random
155650.040          |155650.040          |369.806             |random
153714.506          |153714.506          |440.821             |random
153714.506          |153714.506          |527.916             |random
152731.616          |152731.616          |691.079             |random
total time : 1000.0070145130157
