/media/sunyu/OS1/suanli/collectionunzip/sing5
obj                 |bestobj             |time                |
18987202.309        |18987202.309        |12.692              |INIT
18976566.923        |18976566.923        |14.220              |KS2
18967034.378        |18967034.378        |16.532              |KS2
18953210.870        |18953210.870        |17.988              |KS2
18952387.051        |18952387.051        |29.249              |random
18952082.907        |18952082.907        |31.204              |lns
18949888.582        |18949888.582        |40.581              |random
18949800.718        |18949800.718        |49.432              |lns
18948421.451        |18948421.451        |53.287              |random
18947301.847        |18947301.847        |57.863              |random
18946613.880        |18946613.880        |62.528              |random
18945076.071        |18945076.071        |72.773              |lns
18944504.358        |18944504.358        |79.824              |random
18943327.703        |18943327.703        |130.681             |lns
18942527.885        |18942527.885        |182.987             |random
18938198.493        |18938198.493        |240.174             |lns
18937790.207        |18937790.207        |292.467             |random
18937747.801        |18937747.801        |350.273             |random
18937729.182        |18937729.182        |409.837             |random
18937632.464        |18937632.464        |468.175             |random
18935655.011        |18935655.011        |526.045             |random
18935547.388        |18935547.388        |582.835             |lns
18935547.386        |18935547.386        |633.660             |lns
18934798.283        |18934798.283        |693.222             |random
18934309.788        |18934309.788        |744.050             |lns
18934309.781        |18934309.781        |800.722             |lns
total time : 1001.0837407112122
