/media/sunyu/OS1/suanli/collectionunzip/sorrell7
obj                 |bestobj             |time                |
-172.000            |-172.000            |50.497              |INIT
-173.000            |-173.000            |100.516             |KS2
-176.000            |-176.000            |150.534             |KS2
-178.000            |-178.000            |200.574             |KS2
-179.000            |-179.000            |201.284             |random
-180.000            |-180.000            |201.413             |random
-181.000            |-181.000            |270.745             |random
-183.000            |-183.000            |321.332             |lns
-184.000            |-184.000            |378.658             |random
total time : 1000.0106928348541
